date,n1,n2,n3,n4,n5,j,weekd,avg,idx
2019-12-01,5,23,37,45,8,18,Sunday,23.6,414
2019-12-01,12,38,25,42,7,20,Sunday,24.8,415
2019-12-05,32,5,42,39,37,5,Thursday,31.0,416
2019-12-08,11,17,27,14,28,5,Sunday,19.4,417
2019-12-12,41,9,27,43,42,5,Thursday,32.4,418
2019-12-15,27,11,18,45,4,5,Sunday,21.0,419
2019-12-19,24,25,6,22,9,9,Thursday,17.2,420
2019-12-22,14,28,38,39,19,2,Sunday,27.6,421
2019-12-31,27,16,17,7,31,17,Tuesday,19.6,422
2019-12-31,2,44,27,12,33,5,Tuesday,23.6,423
2020-01-05,10,40,25,8,35,10,Sunday,23.6,424
2020-01-09,1,27,22,21,12,8,Thursday,16.6,425
2020-01-12,19,16,43,5,37,12,Sunday,24.0,426
2020-01-16,33,37,6,18,34,9,Thursday,25.6,427
2020-01-19,45,43,42,41,20,15,Sunday,38.2,428
2020-01-23,4,10,14,1,11,20,Thursday,8.0,429
2020-01-26,10,20,31,28,45,6,Sunday,26.8,430
2020-01-30,18,10,7,30,24,11,Thursday,17.8,431
2020-02-02,3,40,34,21,44,9,Sunday,28.4,432
2020-02-06,25,2,39,8,43,9,Thursday,23.4,433
2020-02-09,10,3,38,24,5,20,Sunday,16.0,434
2020-02-13,27,43,22,12,42,13,Thursday,29.2,435
2020-02-16,43,31,42,33,19,18,Sunday,33.6,436
2020-02-20,35,19,41,16,20,12,Thursday,26.2,437
2020-02-23,24,23,27,13,19,15,Sunday,21.2,438
2020-02-27,8,10,43,7,18,10,Thursday,17.2,439
2020-03-01,20,9,8,42,31,20,Sunday,22.0,440
2020-03-05,16,4,43,36,5,7,Thursday,20.8,441
2020-03-08,32,10,33,3,12,15,Sunday,18.0,442
2020-03-08,27,36,23,42,9,17,Sunday,27.4,443
2020-03-12,29,19,30,38,13,10,Thursday,25.8,444
2020-03-15,29,3,24,20,7,4,Sunday,16.6,445
2020-03-19,43,33,40,19,12,10,Thursday,29.4,446
2020-06-21,9,36,27,21,3,8,Sunday,19.2,447
2020-06-25,31,39,7,10,15,12,Thursday,20.4,448
2020-06-28,11,38,29,10,36,3,Sunday,24.8,449
2020-07-02,6,9,14,3,16,8,Thursday,9.6,450
2020-07-05,44,36,1,6,16,19,Sunday,20.6,451
2020-07-09,9,27,38,34,7,10,Thursday,23.0,452
2020-07-12,9,25,24,30,14,16,Sunday,20.4,453
2020-07-16,37,24,22,10,26,20,Thursday,23.8,454
2020-07-19,3,28,13,29,17,7,Sunday,18.0,455
2020-07-23,17,26,1,32,35,20,Thursday,22.2,456
2020-07-26,45,3,9,1,29,19,Sunday,17.4,457
2020-07-30,13,6,45,9,8,8,Thursday,16.2,458
2020-08-02,32,42,39,20,4,19,Sunday,27.4,459
